	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED]	mtb_smORF1_10966_11121_plus	hypothetical protein	51	3	5.23688E-19	100.0								
true	[NO-BLAST]	mtb_smORF2_13717_13854_plus	---NA---	45											
true	[BLASTED]	mtb_smORF3_33964_34218_plus	hypothetical protein BTB1458_0040	84	1	5.10398E-48	100.0								
true	[NO-BLAST]	mtb_smORF4_416959_417228_plus	---NA---	89											
true	[BLASTED]	mtb_smORF5_483610_483789_plus	Uncharacterised protein	59	3	2.53871E-33	100.0								
true	[BLASTED]	mtb_smORF6_635974_636144_plus	transmembrane protein	56	1	1.63367E-9	65.22								
true	[BLASTED]	mtb_smORF7_663385_663579_plus	predicted protein	64	4	2.62531E-31	98.83								
true	[NO-BLAST]	mtb_smORF8_703999_704241_plus	---NA---	80											
true	[NO-BLAST]	mtb_smORF9_705979_706155_plus	---NA---	58											
true	[BLASTED]	mtb_smORF10_789172_789420_plus	Uncharacterised protein	82	20	1.07465E-40	98.92								
true	[NO-BLAST]	mtb_smORF11_800107_800370_plus	---NA---	87											
true	[NO-BLAST]	mtb_smORF12_811234_811482_plus	---NA---	82											
true	[BLASTED]	mtb_smORF13_931786_932010_plus	Uncharacterised protein	74	1	9.15802E-47	100.0								
true	[BLASTED]	mtb_smORF14_982531_982674_plus	Uncharacterised protein	47	2	6.84083E-25	100.0								
true	[BLASTED, MAPPED]	mtb_smORF15_986260_986535_plus	site-specific integrase	91	14	2.0407E-54	78.69	3	P:GO:0006310; P:GO:0015074; F:GO:0003677	P:DNA recombination; P:DNA integration; F:DNA binding					
true	[BLASTED]	mtb_smORF16_1006546_1006770_plus	exported hypothetical protein	74	1	1.836E-46	100.0								
true	[BLASTED, MAPPED]	mtb_smORF17_1014400_1014555_plus	PPE domain-containing protein	51	20	1.15445E-25	87.56	2	P:GO:0030031; P:GO:0052572	P:cell projection assembly; P:response to host immune response					
true	[BLASTED]	mtb_smORF18_1023865_1024122_plus	Uncharacterised protein	85	20	1.08596E-52	99.0								
true	[BLASTED]	mtb_smORF19_1056880_1057167_plus	Uncharacterised protein	95	2	6.7097E-62	100.0								
true	[BLASTED]	mtb_smORF20_1057447_1057641_plus	MULTISPECIES: hypothetical protein	64	12	5.31947E-38	98.96								
true	[BLASTED]	mtb_smORF21_1061653_1061832_plus	predicted protein	59	7	6.00117E-37	75.22								
true	[BLASTED]	mtb_smORF22_1113691_1113864_plus	Hypothetical protein BCGMEX_1024	57	5	2.36513E-32	99.65								
true	[BLASTED]	mtb_smORF23_1148218_1148430_plus	Uncharacterised protein	70	20	7.3539E-22	98.71								
true	[BLASTED]	mtb_smORF24_1170550_1170840_plus	mutator family transposase	96	6	1.03418E-19	95.27								
true	[NO-BLAST]	mtb_smORF25_1172116_1172367_plus	---NA---	83											
true	[NO-BLAST]	mtb_smORF26_1179175_1179348_plus	---NA---	57											
true	[BLASTED]	mtb_smORF27_1196185_1196319_plus	transmembrane domain protein	44	2	7.77495E-22	87.5								
true	[NO-BLAST]	mtb_smORF28_1216276_1216395_plus	---NA---	39											
true	[BLASTED]	mtb_smORF29_1220221_1220352_plus	Uncharacterised protein	43	1	1.29325E-20	100.0								
true	[BLASTED]	mtb_smORF30_1272136_1272363_plus	predicted protein	75	16	7.25136E-46	85.75								
true	[BLASTED]	mtb_smORF31_1355599_1355826_plus	Uncharacterised protein	75	2	6.8989E-39	100.0								
true	[BLASTED]	mtb_smORF32_1413106_1413360_plus	hypothetical protein, partial	84	10	1.87266E-45	99.31								
true	[NO-BLAST]	mtb_smORF33_1471750_1471899_plus	---NA---	49											
true	[BLASTED]	mtb_smORF34_1473025_1473264_plus	Uncharacterised protein	79	20	3.04416E-46	86.81								
true	[BLASTED]	mtb_smORF35_1473940_1474104_plus	Uncharacterised protein	54	1	7.42608E-17	98.15								
true	[BLASTED]	mtb_smORF36_1474564_1474686_plus	retrotransposon protein	40	8	5.77614E-12	83.97								
true	[NO-BLAST]	mtb_smORF37_1476769_1476999_plus	---NA---	76											
true	[NO-BLAST]	mtb_smORF38_1485205_1485384_plus	---NA---	59											
true	[NO-BLAST]	mtb_smORF39_1533670_1533822_plus	---NA---	50											
true	[BLASTED]	mtb_smORF40_1537537_1537794_plus	Uncharacterised protein	85	4	1.32755E-54	77.82								
true	[BLASTED]	mtb_smORF41_1774921_1775040_plus	hypothetical protein	39	2	2.26776E-17	93.59								
true	[NO-BLAST]	mtb_smORF42_1783744_1784001_plus	---NA---	85											
true	[NO-BLAST]	mtb_smORF43_1893691_1893957_plus	---NA---	88											
true	[BLASTED]	mtb_smORF44_1960837_1961037_plus	hypothetical protein MT1775	66	2	2.27999E-38	79.69								
true	[BLASTED]	mtb_smORF45_1992739_1992972_plus	Uncharacterised protein	77	13	1.97032E-45	99.58								
true	[NO-BLAST]	mtb_smORF46_2024872_2025132_plus	---NA---	86											
true	[BLASTED]	mtb_smORF47_2029789_2030040_plus	PPE family protein	83	1	1.46159E-7	100.0								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF48_2030347_2030523_plus	ESAT-6 like protein EsxJ	58	20	8.66898E-34	100.0	1	C:GO:0005576	C:extracellular region					
true	[BLASTED]	mtb_smORF49_2203582_2203773_plus	Uncharacterised protein	63	2	3.94025E-38	98.91								
true	[BLASTED]	mtb_smORF50_2233723_2233980_plus	Uncharacterised protein	85	20	7.43884E-48	98.82								
true	[BLASTED]	mtb_smORF51_2338438_2338719_plus	possible membrane protein	93	20	3.80523E-60	100.0								
true	[BLASTED, MAPPED]	mtb_smORF52_2343994_2344224_plus	transposase	76	20	5.74672E-48	88.62	2	P:GO:0015074; F:GO:0003676	P:DNA integration; F:nucleic acid binding					
true	[NO-BLAST]	mtb_smORF53_2367289_2367525_plus	---NA---	78											
true	[NO-BLAST]	mtb_smORF54_2445328_2445492_plus	---NA---	54											
true	[NO-BLAST]	mtb_smORF55_2453557_2453832_plus	---NA---	91											
true	[NO-BLAST]	mtb_smORF56_2564131_2564340_plus	---NA---	69											
true	[BLASTED]	mtb_smORF57_2565064_2565249_plus	hypothetical protein, partial	61	1	1.08377E-6	95.35								
true	[NO-BLAST]	mtb_smORF58_2579992_2580255_plus	---NA---	87											
true	[BLASTED]	mtb_smORF59_2581975_2582157_plus	Uncharacterised protein	60	1	4.11852E-20	100.0								
true	[NO-BLAST]	mtb_smORF60_2603650_2603739_plus	---NA---	29											
true	[NO-BLAST]	mtb_smORF61_2619019_2619309_plus	---NA---	96											
true	[BLASTED]	mtb_smORF62_2654989_2655210_plus	Uncharacterised protein	73	3	1.38355E-30	100.0								
true	[BLASTED]	mtb_smORF63_2739895_2740086_plus	Uncharacterised protein	63	1	1.97712E-24	100.0								
true	[BLASTED]	mtb_smORF64_2756656_2756910_plus	hypothetical protein BCGT_2288	84	1	3.07103E-17	100.0								
true	[NO-BLAST]	mtb_smORF65_2849701_2849892_plus	---NA---	63											
true	[NO-BLAST]	mtb_smORF66_2870125_2870361_plus	---NA---	78											
true	[BLASTED]	mtb_smORF67_2925238_2925528_plus	Uncharacterised protein	96	1	1.23911E-7	80.0								
true	[BLASTED]	mtb_smORF68_2954767_2954961_plus	hypothetical protein, partial	64	4	2.07744E-23	100.0								
true	[BLASTED]	mtb_smORF69_3020323_3020511_plus	Uncharacterised protein	62	20	1.32855E-21	98.06								
true	[BLASTED]	mtb_smORF70_3031594_3031755_plus	repressor lexA	53	1	6.32869E-21	100.0								
true	[NO-BLAST]	mtb_smORF71_3073579_3073722_plus	---NA---	47											
true	[BLASTED]	mtb_smORF72_3092701_3092973_plus	hypothetical protein L838_1296	90	1	6.80597E-8	90.63								
true	[BLASTED]	mtb_smORF73_3184669_3184854_plus	prevent-host-death family protein	61	20	4.64144E-34	99.1								
true	[BLASTED]	mtb_smORF74_3189784_3189942_plus	Uncharacterised protein	52	1	2.44269E-27	100.0								
true	[BLASTED]	mtb_smORF75_3359308_3359478_plus	hypothetical protein BIS44_2831	56	1	1.69779E-33	100.0								
true	[NO-BLAST]	mtb_smORF76_3411004_3411186_plus	---NA---	60											
true	[NO-BLAST]	mtb_smORF77_3425401_3425580_plus	---NA---	59											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF78_3429568_3429750_plus	putative membrane protein	60	4	5.62567E-22	100.0	1	C:GO:0016020	C:membrane					
true	[NO-BLAST]	mtb_smORF79_3493603_3493707_plus	---NA---	34											
true	[BLASTED]	mtb_smORF80_3493720_3493959_plus	hypothetical protein	79	3	2.68844E-9	76.55								
true	[NO-BLAST]	mtb_smORF81_3722473_3722766_plus	---NA---	97											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF82_3788482_3788616_plus	enoyl-CoA hydratase EchA18.1	44	20	2.48614E-23	99.77	1	F:GO:0004300	F:enoyl-CoA hydratase activity	EC:4.2.1.17	Enoyl-CoA hydratase			
true	[NO-BLAST]	mtb_smORF83_3798946_3799101_plus	---NA---	51											
true	[BLASTED]	mtb_smORF84_3821818_3822015_plus	Uncharacterised protein	65	1	9.53124E-38	100.0								
true	[BLASTED]	mtb_smORF85_3846637_3846855_plus	PE family protein	72	20	5.81121E-44	99.85								
true	[BLASTED]	mtb_smORF86_3970576_3970788_plus	PPE family protein PPE61	70	1	1.16587E-24	100.0								
true	[NO-BLAST]	mtb_smORF87_4056292_4056495_plus	---NA---	67											
true	[NO-BLAST]	mtb_smORF88_4057201_4057422_plus	---NA---	73											
true	[BLASTED]	mtb_smORF89_4081117_4081338_plus	hypothetical protein MULP_05409	73	2	2.99763E-13	75.34								
true	[NO-BLAST]	mtb_smORF90_4107220_4107456_plus	---NA---	78											
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF91_4110664_4110909_plus	transmembrane protein	81	1	4.81761E-33	96.72	1	C:GO:0016020	C:membrane					
true	[BLASTED]	mtb_smORF92_4118557_4118739_plus	hypothetical protein CAURIC_10590	60	1	5.42911E-4	71.79								
true	[BLASTED, MAPPED, ANNOTATED]	mtb_smORF93_4169467_4169709_plus	cutinase cut5a	80	20	6.15201E-31	98.65	1	F:GO:0016787	F:hydrolase activity	EC:3	Hydrolases			
true	[NO-BLAST]	mtb_smORF94_4185850_4186083_plus	---NA---	77											
true	[BLASTED]	mtb_smORF95_4264336_4264533_plus	hypothetical protein	65	1	3.25892E-11	67.86								
true	[NO-BLAST]	mtb_smORF96_4274680_4274859_plus	---NA---	59											
true	[BLASTED]	mtb_smORF97_4287847_4288128_plus	Conserved exported protein of uncharacterised function	93	2	5.65355E-59	99.46								
true	[BLASTED]	mtb_smORF98_4314031_4314105_plus	Uncharacterised protein	24	1	3.05437E-7	100.0								
true	[BLASTED]	mtb_smORF99_4317805_4317981_plus	Uncharacterised protein	58	2	1.64005E-32	97.41								
